pool,stratum,mode,t,n,A_recall10,B_recall10,d_recall10,discordant_A_only,discordant_B_only,mcnemar_p,A_mrr10,B_mrr10,d_mrr10,d_mrr10_ci_lo,d_mrr10_ci_hi,A_ndcg10,B_ndcg10,d_ndcg10,d_ndcg10_ci_lo,d_ndcg10_ci_hi,A_union10,B_union10,A_page,B_page,A_reachable,B_reachable
FRESH,all,sparse,0.8,29,0.8275862068965517,0.7931034482758621,0.03448275862068961,3,2,1.0,0.6706896551724139,0.6793103448275862,-0.008620689655172414,-0.1367816091954023,0.10229885057471265,0.6862045722495332,0.689103368560221,-0.002898796310687767,-0.12991919858621961,0.11511627262958218,0.8620689655172413,0.7931034482758621,0.896551724137931,1.0,1.0,1.0
FRESH,table,hybrid,0.4,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.4128205128205128,0.5769230769230769,-0.16410256410256413,-0.41025641025641024,0.05384615384615383,0.4054389397979934,0.4334709455166252,-0.02803200571863184,-0.2337700295541128,0.1529185160315018,0.9230769230769231,0.9230769230769231,0.8461538461538461,1.0,1.0,1.0
FRESH,table,hybrid,0.5,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.35512820512820514,0.4807692307692308,-0.12564102564102567,-0.3846153846153847,0.11538461538461536,0.4037880230021956,0.41074966727685064,-0.006961644274655083,-0.22714020400749327,0.17709906808798898,0.9230769230769231,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0
FRESH,table,hybrid,0.6,13,0.6153846153846154,0.6153846153846154,0.0,2,2,1.0,0.35512820512820514,0.4807692307692308,-0.12564102564102567,-0.39487179487179486,0.11288461538461445,0.4037880230021956,0.4367705026500174,-0.03298247964782182,-0.2591892248107829,0.1711466993041795,0.8461538461538461,0.6923076923076923,0.8461538461538461,1.0,1.0,1.0
FRESH,table,hybrid,0.7,13,0.6153846153846154,0.5384615384615384,0.07692307692307698,3,2,1.0,0.35512820512820514,0.4,-0.044871794871794886,-0.3154166666666667,0.1795192307692303,0.42247926369472444,0.43827027775459726,-0.015791014059872856,-0.28997146762396137,0.22042208390592366,0.7692307692307693,0.5384615384615384,0.8461538461538461,1.0,1.0,1.0
FRESH,table,hybrid,0.8,13,0.6153846153846154,0.5384615384615384,0.07692307692307698,3,2,1.0,0.35512820512820514,0.4,-0.044871794871794886,-0.308974358974359,0.18333333333333332,0.42247926369472444,0.43827027775459726,-0.015791014059872856,-0.293127754121171,0.22347445794324255,0.6153846153846154,0.5384615384615384,0.8461538461538461,1.0,1.0,1.0
FRESH,table,dense,0.4,13,0.5384615384615384,0.6153846153846154,-0.07692307692307698,1,2,1.0,0.4102564102564103,0.5769230769230769,-0.16666666666666669,-0.39743589743589747,0.038461538461538464,0.37608125627921574,0.44370571552706595,-0.06762445924785011,-0.26470125798561644,0.10612676697080012,0.9230769230769231,0.9230769230769231,0.7692307692307693,1.0,1.0,1.0
FRESH,table,dense,0.5,13,0.5384615384615384,0.6153846153846154,-0.07692307692307698,1,2,1.0,0.3589743589743589,0.4807692307692308,-0.1217948717948718,-0.38461538461538464,0.10897435897435896,0.3819565794328837,0.41074966727685064,-0.028793087843966888,-0.23842299145302848,0.14561770740646765,0.9230769230769231,0.8461538461538461,0.7692307692307693,1.0,1.0,1.0
FRESH,table,dense,0.6,13,0.5384615384615384,0.6153846153846154,-0.07692307692307698,1,2,1.0,0.3589743589743589,0.4807692307692308,-0.1217948717948718,-0.37820512820512825,0.10897435897435896,0.3819565794328837,0.4367705026500174,-0.05481392321713362,-0.2715487996949445,0.13446579115926865,0.6923076923076923,0.6923076923076923,0.7692307692307693,1.0,1.0,1.0
FRESH,table,dense,0.7,13,0.5384615384615384,0.5384615384615384,0.0,2,2,1.0,0.3589743589743589,0.4,-0.04102564102564103,-0.3076923076923077,0.19230769230769232,0.38824702464363176,0.43827027775459726,-0.05002325311096561,-0.31913171649057365,0.1929901307860474,0.6153846153846154,0.5384615384615384,0.7692307692307693,1.0,1.0,1.0
