pool,qid,stratum,arm,mode,t,recall10,mrr10,ndcg10,n_rel_in_arm,reachable,union10_hit,page_hit,first_rank,best_cov_top10
FRESH,T015,table,A,dense,0.5,1,0.5,0.5691451420674094,5,1,1,1,2,1.0
FRESH,T015,table,A,dense,0.6,1,0.5,0.5691451420674094,5,1,1,1,2,1.0
FRESH,T015,table,A,dense,0.7,1,0.5,0.6509209298071326,2,1,1,1,2,1.0
FRESH,T015,table,A,dense,0.8,1,0.5,0.6509209298071326,2,1,1,1,2,1.0
FRESH,T015,table,A,sparse,0.4,1,0.5,0.2918104499436024,7,1,1,1,2,1.0
FRESH,T015,table,A,sparse,0.5,1,0.5,0.36005461457723403,5,1,1,1,2,1.0
FRESH,T015,table,A,sparse,0.6,1,0.5,0.36005461457723403,5,1,1,1,2,1.0
FRESH,T015,table,A,sparse,0.7,1,0.5,0.6509209298071326,2,1,1,1,2,1.0
FRESH,T015,table,A,sparse,0.8,1,0.5,0.6509209298071326,2,1,1,1,2,1.0
FRESH,T015,table,B,hybrid,0.4,1,1.0,0.31488013066763093,15,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,hybrid,0.5,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,hybrid,0.6,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,hybrid,0.7,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T015,table,B,hybrid,0.8,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T015,table,B,dense,0.4,1,1.0,0.31488013066763093,15,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,dense,0.5,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,dense,0.6,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,dense,0.7,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T015,table,B,dense,0.8,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T015,table,B,sparse,0.4,1,1.0,0.31488013066763093,15,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,sparse,0.5,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,sparse,0.6,1,1.0,0.2529427027676571,8,1,1,1,1,0.6575342465753424
FRESH,T015,table,B,sparse,0.7,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T015,table,B,sparse,0.8,0,0.0,0.0,2,1,0,1,0,0.6575342465753424
FRESH,T016,table,A,hybrid,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,hybrid,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,hybrid,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,dense,0.4,0,0.0,0.0,1,1,0,1,0,0.08888888888888889
FRESH,T016,table,A,dense,0.5,0,0.0,0.0,1,1,0,1,0,0.08888888888888889
FRESH,T016,table,A,dense,0.6,0,0.0,0.0,1,1,0,1,0,0.08888888888888889
FRESH,T016,table,A,dense,0.7,0,0.0,0.0,1,1,0,1,0,0.08888888888888889
FRESH,T016,table,A,dense,0.8,0,0.0,0.0,1,1,0,1,0,0.08888888888888889
FRESH,T016,table,A,sparse,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,sparse,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,sparse,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,A,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,hybrid,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,hybrid,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,hybrid,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,hybrid,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,hybrid,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,dense,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,dense,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,dense,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,dense,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,dense,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,sparse,0.4,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,sparse,0.5,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,sparse,0.6,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,sparse,0.7,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T016,table,B,sparse,0.8,1,1.0,1.0,1,1,1,1,1,1.0
FRESH,T017,table,A,hybrid,0.4,1,1.0,0.5894280199323518,32,1,1,1,1,1.0
FRESH,T017,table,A,hybrid,0.5,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,hybrid,0.6,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,hybrid,0.7,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,hybrid,0.8,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,dense,0.4,1,1.0,0.6117748521784964,32,1,1,1,1,1.0
FRESH,T017,table,A,dense,0.5,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T017,table,A,dense,0.6,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T017,table,A,dense,0.7,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T017,table,A,dense,0.8,1,0.3333333333333333,0.5,1,1,1,1,3,1.0
FRESH,T017,table,A,sparse,0.4,1,1.0,0.5933607200949346,32,1,1,1,1,1.0
FRESH,T017,table,A,sparse,0.5,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,sparse,0.6,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,sparse,0.7,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,A,sparse,0.8,1,0.25,0.43067655807339306,1,1,1,1,4,1.0
FRESH,T017,table,B,hybrid,0.4,1,1.0,0.5388856921828065,34,1,1,1,1,1.0
FRESH,T017,table,B,hybrid,0.5,1,0.25,0.5012658353418871,2,1,1,1,4,1.0
FRESH,T017,table,B,hybrid,0.6,1,0.25,0.5012658353418871,2,1,1,1,4,1.0
FRESH,T017,table,B,hybrid,0.7,1,0.2,0.38685280723454163,1,1,1,1,5,1.0
