question_id,gold_is_table,category,source_file,page_number,gold_norm_len,armA_n,armA_contig,armA_blocks,armA_contig_at_best_blocks,armA_union_contig,armB_n,armB_contig,armB_blocks,armB_contig_at_best_blocks,armB_union_contig,armB_scatter_gap,armB_scattered,fits_in_armB,fits_in_armA
Q064,False,cross_document,icao_environment_report.pdf,231,409,7,1.0,1.0,1.0,1.0,7,0.6161,0.6161,0.6161,1.0,0.0,False,True,True
Q065,False,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,74,413,6,1.0,1.0,1.0,1.0,5,0.7215,0.7215,0.7215,1.0,0.0,False,True,True
Q066,False,numerical,circular_air_safety_2024_01_mitigation.pdf,4,353,6,1.0,1.0,1.0,1.0,5,0.7054,0.7054,0.7054,1.0,0.0,False,True,True
Q067,False,procedural,car_s2_l_car66_maintenance_engineer_licensing.pdf,26,385,8,1.0,1.0,1.0,1.0,7,0.7922,0.813,0.4,1.0,0.413,False,True,True
Q068,False,cross_document,circular_aircraft_eng_2024_01_advisory.pdf,5,401,7,1.0,1.0,1.0,1.0,7,0.6509,0.6509,0.6509,1.0,0.0,False,True,True
Q069,False,direct_regulation,icao_environment_report.pdf,235,389,8,1.0,1.0,1.0,1.0,8,0.9126,0.9126,0.9126,1.0,0.0,False,True,True
Q070,False,numerical,car_s2_i_p5_flight_data_recorders.pdf,19,415,6,1.0,1.0,1.0,1.0,5,0.8723,0.8723,0.8723,1.0,0.0,False,True,True
Q071,False,procedural,circular_air_nav_2024_01_installation.pdf,3,360,6,1.0,1.0,1.0,1.0,5,0.975,0.975,0.975,1.0,0.0,False,True,True
Q072,False,cross_document,car_s2_t_p2_flight_testing.pdf,8,356,7,1.0,1.0,1.0,1.0,6,0.6826,0.6826,0.6826,1.0,0.0,False,True,True
Q073,False,direct_regulation,car_s2_l_car66_maintenance_engineer_licensing.pdf,22,384,8,1.0,1.0,1.0,1.0,8,0.7812,0.7812,0.7812,1.0,0.0,False,True,True
Q074,False,numerical,icao_environment_report.pdf,372,209,9,1.0,1.0,1.0,1.0,10,0.7847,0.7847,0.7847,1.0,0.0,False,True,True
Q075,False,procedural,car_s2_e_car145_maintenance_org_2025.pdf,127,428,9,1.0,1.0,1.0,1.0,7,0.6636,0.6636,0.6636,1.0,0.0,False,True,True
Q076,False,cross_document,aic_2025_12_tariff_noida_nia.pdf,4,255,4,1.0,1.0,1.0,1.0,6,0.9294,0.9294,0.9294,1.0,0.0,False,True,True
Q077,False,direct_regulation,car_s2_f_p7_special_flight_permits.pdf,3,405,7,1.0,1.0,1.0,1.0,6,0.6469,0.6469,0.6469,1.0,0.0,False,True,True
Q078,False,numerical,icao_doc9859_safety_management_manual.pdf,115,402,9,1.0,1.0,1.0,1.0,8,0.791,0.791,0.791,1.0,0.0,False,True,True
Q079,False,procedural,car_s2_e_camo_continuing_airworthiness_mgmt.pdf,17,352,7,1.0,1.0,1.0,1.0,6,0.8267,0.8267,0.8267,1.0,0.0,False,True,True
Q080,False,cross_document,icao_environment_report.pdf,130,367,5,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,0.0,False,True,True
